Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
13.082697,80.270678,10,0,352.836459
13.083069,80.27063,10,41.689934,351.443361
13.083315,80.270592,10,27.661849,352.648757
13.083466,80.270572,10,16.929588,351.528211
13.083963,80.270496,10,55.873543,350.501292
13.084289,80.27044,8,36.753462,293.377719
13.084553,80.269813,9,73.98239,294.884279
13.084703,80.269481,9,39.638262,285.512823
13.084786,80.269174,9.6,34.507608,282.244336
13.08489,80.268682,11,54.527847,276.792793
13.084911,80.268501,10.7,19.742298,271.480858
13.084918,80.268223,10,30.119633,271.14208
13.084924,80.267914,9.3,33.473764,279.9603
13.08495,80.267762,9.2,16.714713,285.52613
13.085216,80.266779,8,110.498722,278.832353
13.085244,80.266594,11,20.277372,278.122411
13.085306,80.266148,11,48.794696,277.803121
13.085367,80.265691,9,49.959182,276.66525
13.085521,80.264338,12,147.537288,274.98545
13.085534,80.264185,12,16.633984,271.980092
13.085577,80.262908,12,138.391346,192.645739
13.084127,80.262574,8,165.240985,192.659137
13.083238,80.262369,12,101.315141,192.50211
13.083115,80.262341,12,14.009161,192.668344
13.082959,80.262305,12,17.779228,192.962435
13.082612,80.262223,11.1,39.593588,170.778999
13.082546,80.262234,11,7.434942,186.112738
13.082355,80.262213,11,21.359676,165.795212
13.081266,80.262496,9,124.910413,163.833335
13.081098,80.262546,7,19.449876,163.83252
13.080295,80.262785,5,92.96615,159.175937
13.08019,80.262826,5,12.491453,258.93547
13.080146,80.262595,5,25.493471,258.752943
13.080023,80.26196,7.3,70.12353,254.083104
13.079978,80.261798,6.8,18.245751,247.044599
13.079827,80.261432,7,43.050721,247.757089
13.079633,80.260945,7.6,56.987639,258.105495
13.079506,80.260326,8.6,68.515115,262.880462
13.079319,80.258789,11,167.766418,263.976924
13.079134,80.256989,9,196.040844,264.236527
13.079099,80.256633,11,38.754399,265.041608
13.079069,80.256278,11,38.594619,265.150346
13.079049,80.256036,11,26.305289,262.478556
13.079,80.255655,12,41.624407,262.528363
13.078878,80.2547,12,104.322262,262.218727
13.078839,80.254407,12,32.029899,263.139826
13.078824,80.254279,12,13.963715,265.770682
13.078739,80.253099,14,128.15541,275.791945
13.078772,80.252765,14,36.36134,272.399501
13.07878,80.252569,14,21.24749,271.400255
13.078784,80.252401,11,18.201601,263.750603
13.078776,80.252326,11,8.17185,269.562703
13.078774,80.252057,11,29.136377,270.000015
13.078774,80.251922,11,14.62192,269.222695
13.078771,80.251695,11,24.58875,270.658452
13.078774,80.251427,12,29.029135,268.856439
13.078767,80.251067,12,38.999554,268.88802
13.078758,80.250591,9,51.56552,267.712496
13.078738,80.250077,10.3,55.716012,256.839675
13.078523,80.249133,10,105.002945,260.758045
13.078426,80.248521,10,67.157911,259.466448
13.078355,80.248129,10,43.185556,258.818008
13.078174,80.247189,11,103.78232,258.908536
13.077984,80.246194,13,109.82061,266.544198
13.07794,80.245446,13,81.164129,264.112678
13.077872,80.244769,13,73.715296,263.849157
13.077834,80.244407,13,39.435576,263.622555
13.077807,80.244159,14,27.028372,262.671991
13.077748,80.243688,14,51.434572,262.682286
13.077573,80.242289,13,152.771455,259.805499
13.077494,80.241838,12.1,49.631854,257.264565
13.077376,80.241302,11,59.519029,257.234285
13.077344,80.241157,11,16.103158,253.535303
13.077325,80.241091,11,7.454199,253.67353
13.07722,80.240723,14,41.53333,250.944775
13.077184,80.240616,14,12.261158,256.000292
13.077133,80.240406,14,23.441648,256.504815
13.077115,80.240329,14,8.576775,256.078035
13.076896,80.239422,12,101.211544,255.727634
13.076756,80.238857,14,63.144926,257.65115
13.076579,80.238027,20,92.027719,254.013045
13.076567,80.237984,20,4.844768,258.519504
13.076494,80.237615,20,40.782913,259.887444
13.076453,80.237379,17,25.964894,259.01113
13.076338,80.236771,17,67.083471,258.431448
13.076141,80.235783,14,109.230906,257.601931
13.075741,80.233915,19,207.157545,255.762637
13.075502,80.232948,16.8,108.056597,252.367492
13.075228,80.232063,13,100.581613,248.284785
13.075183,80.231947,13,13.523938,250.410466
13.07481,80.230871,13.3,123.704142,244.396694
13.074508,80.230224,13,77.7085,248.60398
13.0742,80.229417,13.3,93.878182,254.764168
13.074109,80.229074,13,38.504554,262.655429
13.074024,80.228397,13,73.934239,264.965329
13.073952,80.227558,13,91.22627,263.270287
13.073812,80.22634,14,132.840128,271.986431
13.073827,80.225896,14,48.11975,276.524856
13.073952,80.224774,15,122.319077,276.33306
13.07396,80.2247,15,8.064347,276.500899
13.074067,80.223736,14,105.089043,277.084078
13.07409,80.223546,14,20.737695,273.325855
13.074156,80.22238,10,126.505494,274.622393
13.074199,80.221834,11,59.331617,281.461771
13.074357,80.221034,13,88.413142,278.684753
13.0744,80.220745,13,31.665366,280.331391
13.074829,80.218329,15,265.994986,279.027781
13.074881,80.217993,15,36.849384,279.416122
